Timestamp,FromAccount,ToAccount,Amount Received,Receiving Currency,Amount Paid,Payment Currency,suspected_money_laundering_involvement
10-09-2022 0.04,8000EC280,8017BF800,120.4,US Dollar,120.4,US Dollar,
10-09-2022 0.27,8000EDEC0,801130530,9.54,US Dollar,9.54,US Dollar,
10-09-2022 0.10,8000F4510,8017BF990,598.29,US Dollar,598.29,US Dollar,
10-09-2022 0.02,8000F4FE0,80AEF5310,8.94,US Dollar,8.94,US Dollar,
10-09-2022 0.11,80012FD90,8021F1570,116.81,US Dollar,116.81,US Dollar,
10-09-2022 0.29,80012FE00,80D1B98E0,0.24,US Dollar,0.24,US Dollar,
10-09-2022 0.20,800131B10,8131A9A80,887.93,US Dollar,887.93,US Dollar,
10-09-2022 0.22,8005F0B50,8131A9A80,6.65,US Dollar,6.65,US Dollar,
10-09-2022 0.17,8005FB700,8131A9A80,5.71,US Dollar,5.71,US Dollar,
10-09-2022 0.14,8006A3840,810521380,14.99,US Dollar,14.99,US Dollar,
