Timestamp,FromAccount,ToAccount,Amount Received,Receiving Currency,Amount Paid,Payment Currency,suspected_money_laundering_involvement
10-09-2022 10.11,100428978,80F5C8AA0,43.64,Swiss Franc,43.64,Swiss Franc,
10-09-2022 10.06,100428978,80F5C8AA0,19.14,Swiss Franc,19.14,Swiss Franc,
10-09-2022 10.17,80E5BC830,80F5D5040,125.45,Swiss Franc,125.45,Swiss Franc,
10-09-2022 10.21,80E5BC830,80F5D5040,75.28,Swiss Franc,75.28,Swiss Franc,
10-09-2022 10.15,80ED94330,80F680290,151.3,Swiss Franc,151.3,Swiss Franc,
10-09-2022 10.10,80ED94330,80F680290,89.23,Swiss Franc,89.23,Swiss Franc,
10-09-2022 10.03,80EEE7AC0,80F6AEC20,19990.62,Swiss Franc,19990.62,Swiss Franc,
10-09-2022 10.23,80F599150,80F6B5CF0,144.75,Swiss Franc,144.75,Swiss Franc,
10-09-2022 10.08,80F599150,80F6B5CF0,196.23,Swiss Franc,196.23,Swiss Franc,
10-09-2022 10.26,80F599150,80F6B5CF0,12.63,Swiss Franc,12.63,Swiss Franc,
10-09-2022 10.02,80F599150,80F6B5CF0,37.74,Swiss Franc,37.74,Swiss Franc,
10-09-2022 10.06,80F17B170,80F6C7300,66520.87,Swiss Franc,66520.87,Swiss Franc,
10-09-2022 10.04,80F17B170,80F6C7300,14689.78,Swiss Franc,14689.78,Swiss Franc,
10-09-2022 10.10,80F6B7740,80F6DA930,263.56,Swiss Franc,263.56,Swiss Franc,
10-09-2022 10.07,80F6B7740,80F6DA930,342.78,Swiss Franc,342.78,Swiss Franc,
10-09-2022 10.01,100428978,80F72CE80,3167.1,Swiss Franc,3167.1,Swiss Franc,
10-09-2022 10.00,80EE38480,80F732FB0,125.84,Swiss Franc,125.84,Swiss Franc,
10-09-2022 10.28,80EE38480,80F732FB0,120.42,Swiss Franc,120.42,Swiss Franc,
10-09-2022 10.10,80F35E820,80F8A1670,413.33,Swiss Franc,413.33,Swiss Franc,
10-09-2022 10.18,80E5B1FB0,80F89DF90,1758.68,Swiss Franc,1758.68,Swiss Franc,
10-09-2022 10.00,80E5B1FB0,80F89DF90,2880.93,Swiss Franc,2880.93,Swiss Franc,
10-09-2022 10.00,80E7CDBC0,80F930D20,264.75,Swiss Franc,264.75,Swiss Franc,
10-09-2022 10.15,80E7CDBC0,80F930D20,58.79,Swiss Franc,58.79,Swiss Franc,
10-09-2022 10.23,80E2C2D20,80F935EE0,4011.98,Swiss Franc,4011.98,Swiss Franc,
10-09-2022 10.02,80E2C2D20,80F935EE0,2466.74,Swiss Franc,2466.74,Swiss Franc,
10-09-2022 10.22,80F9282F0,80F986B60,843.16,Swiss Franc,843.16,Swiss Franc,
10-09-2022 10.11,80EDFA2B0,80F9BE800,194.32,Swiss Franc,194.32,Swiss Franc,
10-09-2022 10.18,80EDFA2B0,80F9BE800,14.1,Swiss Franc,14.1,Swiss Franc,
10-09-2022 10.17,80E88BCE0,80F9DC180,11932.76,Swiss Franc,11932.76,Swiss Franc,
10-09-2022 10.22,80F6DB730,80FA8EF80,89.02,Swiss Franc,89.02,Swiss Franc,
10-09-2022 10.20,80F6DB730,80FA8EF80,306.34,Swiss Franc,306.34,Swiss Franc,
10-09-2022 10.11,80F228EF0,80FAE5900,12323.41,Swiss Franc,12323.41,Swiss Franc,
10-09-2022 10.28,80F228EF0,80FAE5900,21703.17,Swiss Franc,21703.17,Swiss Franc,
10-09-2022 10.10,80F228EF0,80FAE5900,69.56,Swiss Franc,69.56,Swiss Franc,
10-09-2022 10.20,80F228EF0,80FAE5900,3.78,Swiss Franc,3.78,Swiss Franc,
10-09-2022 10.04,80F228EF0,80FAE5900,10.71,Swiss Franc,10.71,Swiss Franc,
10-09-2022 10.21,80F2FFB20,80FAF8160,10906.14,Swiss Franc,10906.14,Swiss Franc,
10-09-2022 10.19,80F2FFB20,80FAF8160,9069.43,Swiss Franc,9069.43,Swiss Franc,
10-09-2022 10.01,80F2FFB20,80FAF8160,26143.73,Swiss Franc,26143.73,Swiss Franc,
10-09-2022 10.27,80F6F9800,80FB33910,341.24,Swiss Franc,341.24,Swiss Franc,
10-09-2022 10.00,80F6F9800,80FB33910,442.03,Swiss Franc,442.03,Swiss Franc,
10-09-2022 10.03,80F13ED90,80FB61A60,281.7,Swiss Franc,281.7,Swiss Franc,
10-09-2022 10.09,80F13ED90,80FB61A60,180.69,Swiss Franc,180.69,Swiss Franc,
10-09-2022 10.06,80F763F30,80FB5BCC0,149.22,Swiss Franc,149.22,Swiss Franc,
10-09-2022 10.27,80F763F30,80FB5BCC0,35.47,Swiss Franc,35.47,Swiss Franc,
10-09-2022 10.26,80F470310,80F929B30,2485.68,Swiss Franc,2485.68,Swiss Franc,
10-09-2022 10.15,80F470310,80F929B30,902.78,Swiss Franc,902.78,Swiss Franc,
10-09-2022 10.19,100428978,80FC320B0,14163.84,Swiss Franc,14163.84,Swiss Franc,
10-09-2022 10.12,100428978,80FC320B0,15733.36,Swiss Franc,15733.36,Swiss Franc,
10-09-2022 10.02,100428978,80FC320B0,39725.04,Swiss Franc,39725.04,Swiss Franc,
10-09-2022 10.25,80E9FE660,80FC47720,653.1,Swiss Franc,653.1,Swiss Franc,
10-09-2022 10.12,80E9FE660,80FC47720,1344.57,Swiss Franc,1344.57,Swiss Franc,
10-09-2022 10.25,80F0C5DF0,80FC98BC0,24274.57,Swiss Franc,24274.57,Swiss Franc,
10-09-2022 10.16,80FD2DBC0,80FD46290,29413.79,Shekel,29413.79,Shekel,
10-09-2022 10.27,80FD500C0,80FD529F0,8710.64,Shekel,8710.64,Shekel,
10-09-2022 10.15,80FD500C0,80FD529F0,27340.53,Shekel,27340.53,Shekel,
10-09-2022 10.12,80FD68F90,80FDAE660,196.36,Shekel,196.36,Shekel,
10-09-2022 10.28,80FD68F90,80FDAE660,243.9,Shekel,243.9,Shekel,
10-09-2022 10.23,8000D54A0,80FDE5EE0,15545.39,Shekel,15545.39,Shekel,
10-09-2022 10.09,8000D54A0,80FDE5EE0,166.59,Shekel,166.59,Shekel,
10-09-2022 10.20,1004289C0,80FF958C0,837.83,Shekel,837.83,Shekel,
10-09-2022 10.17,1004289C0,80FF958C0,626.64,Shekel,626.64,Shekel,
10-09-2022 10.20,1004289C0,810005010,1334.44,Shekel,1334.44,Shekel,
10-09-2022 10.25,1004289C0,810005010,1002.83,Shekel,1002.83,Shekel,
10-09-2022 10.09,80FF7F2D0,81004DD20,3977.63,Shekel,3977.63,Shekel,
10-09-2022 10.28,80FF7F2D0,81004DD20,3851.28,Shekel,3851.28,Shekel,
10-09-2022 10.06,80FF7F2D0,81004DD20,1422.89,Shekel,1422.89,Shekel,
10-09-2022 10.13,80FD89C80,81008B120,677.7,Shekel,677.7,Shekel,
10-09-2022 10.02,80FD89C80,81008B120,640.66,Shekel,640.66,Shekel,
10-09-2022 10.08,80F12C690,81008E190,286.03,Shekel,286.03,Shekel,
10-09-2022 10.24,80F12C690,81008E190,324.9,Shekel,324.9,Shekel,
10-09-2022 10.21,80FDB6B60,8100985D0,129661.32,Shekel,129661.32,Shekel,
10-09-2022 10.07,80FDB6B60,8100985D0,52514.49,Shekel,52514.49,Shekel,
10-09-2022 10.15,80FDB6B60,8100985D0,93595.25,Shekel,93595.25,Shekel,
10-09-2022 10.22,80FDB6B60,8100985D0,19578.16,Shekel,19578.16,Shekel,
10-09-2022 10.26,80FDB6B60,8100985D0,19321.7,Shekel,19321.7,Shekel,
10-09-2022 10.01,80FDCA220,8100C70F0,960.04,Shekel,960.04,Shekel,
10-09-2022 10.11,80FDCA220,8100C70F0,688.8,Shekel,688.8,Shekel,
10-09-2022 10.21,80FDF3120,8100D3690,4548.24,Shekel,4548.24,Shekel,
10-09-2022 10.00,80FDF3120,8100D3690,7030.77,Shekel,7030.77,Shekel,
10-09-2022 10.26,80FD88C10,8100E17A0,1311808.11,Shekel,1311808.11,Shekel,
10-09-2022 10.16,80FD88C10,8100E17A0,35325.54,Shekel,35325.54,Shekel,
10-09-2022 10.27,80FD88C10,8100E17A0,228390.4,Shekel,228390.4,Shekel,
10-09-2022 10.25,810075120,8101133A0,83493.38,Shekel,83493.38,Shekel,
10-09-2022 10.26,810075120,8101133A0,173.39,Shekel,173.39,Shekel,
10-09-2022 10.20,80FDAE660,81012DB30,2248.69,Shekel,2248.69,Shekel,
10-09-2022 10.07,80FDAE660,81012DB30,2410.76,Shekel,2410.76,Shekel,
10-09-2022 10.02,81015D970,81017A810,448596.3,Shekel,448596.3,Shekel,
10-09-2022 10.19,81015D970,81017A810,245991.22,Shekel,245991.22,Shekel,
10-09-2022 10.05,80FDB3620,8101B8F20,570.96,Shekel,570.96,Shekel,
10-09-2022 10.13,80FDB3620,8101B8F20,1133.62,Shekel,1133.62,Shekel,
10-09-2022 10.00,81007CCF0,8101D2C50,2103.8,Shekel,2103.8,Shekel,
10-09-2022 10.06,81007CCF0,8101D2C50,2788.44,Shekel,2788.44,Shekel,
10-09-2022 10.04,8100529B0,810209320,297536.04,Shekel,297536.04,Shekel,
10-09-2022 10.27,8100529B0,810209320,36076.96,Shekel,36076.96,Shekel,
10-09-2022 10.06,810057700,81055DE70,481.19,Shekel,481.19,Shekel,
10-09-2022 10.05,810057700,81055DE70,170.13,Shekel,170.13,Shekel,
10-09-2022 10.29,1004289C0,8105F9610,2039.71,Shekel,2039.71,Shekel,
10-09-2022 10.04,1004289C0,8105F9610,1301.04,Shekel,1301.04,Shekel,
10-09-2022 10.21,8105F9C70,810664530,1730.26,Shekel,1730.26,Shekel,
10-09-2022 10.02,810160210,81078C810,1384.44,Shekel,1384.44,Shekel,
10-09-2022 10.25,810160210,81078C810,228.88,Shekel,228.88,Shekel,
10-09-2022 10.18,810160210,81078C810,95.58,Shekel,95.58,Shekel,
10-09-2022 10.25,80602FA70,80602FA70,699.07,Shekel,207.01,US Dollar,
10-09-2022 10.25,80602FA70,8108BA8C0,699.07,Shekel,699.07,Shekel,
10-09-2022 10.04,80602FA70,80602FA70,1746.85,Shekel,517.28,US Dollar,
